question,answer
"勤怠管理システムにログインできません","勤怠管理システムにログインできない場合は、以下を確認してください。1. ユーザーIDとパスワードが正しいか確認 2. ブラウザのキャッシュをクリア 3. 管理者に連絡してアカウント状態を確認"
"有給申請はどこから行いますか？","有給申請は勤怠管理システムの「休暇申請」メニューから行えます。申請後は直属の上司の承認が必要です。"
"経費精算の締め切りはいつですか？","経費精算の締め切りは毎月25日です。締め切り後の申請は翌月処理となります。"
"社内WiFiのパスワードを教えてください","社内WiFiのパスワードは情報システム部にお問い合わせください。セキュリティ上、このシステムでは回答できません。"
"プリンターの調子が悪いです","プリンターの不具合は以下を試してください。1. 電源の再起動 2. 用紙とトナーの確認 3. 印刷キューのクリア。解決しない場合は総務部に連絡してください。"
"新入社員の研修スケジュールを教えてください","新入社員研修は4月1日からの2週間です。詳細スケジュールは人事部から配布される資料を確認してください。"
"会議室の予約方法を教えてください","会議室の予約はOutlookの予定表から行えます。会議室を選択して時間を指定してください。"
"社食のメニューはどこで確認できますか？","社食のメニューは1階掲示板または社内ポータルサイトで確認できます。"
"残業申請はどうやって行いますか？","残業申請は事前に直属の上司に口頭で確認後、勤怠管理システムで申請してください。"
"健康診断の日程を教えてください","健康診断の日程は人事部から個別にメールで連絡されます。未受信の場合は人事部にお問い合わせください。"
